Country,Active military,Reserve military,Paramilitary,Total,"Per 1,000 capita (total)","Per 1,000 capita (active)",Ref
Afghanistan,172000,0,0,172000,4.3,4.3,[2]
Albania,7500,0,0,7500,2.4,2.4,[3]
Algeria,139000,150000,187200,476200,10.3,3.0,[4]
Angola,107000,0,10000,117000,3.3,3.0,[5]
Antigua and Barbuda,200,80,0,280,2.8,2.0,[6]
Argentina,72100,0,31250,103350,2.2,1.5,[7]
Armenia,42900,210000,4300,257200,86.0,14.4,[8][a]
Australia,58540,21450,0,79990,3.0,2.2,[9]
Austria,22200,109200,0,131400,14.7,2.5,[10]
Azerbaijan,68200,300000,15000,383200,36.0,6.4,[11]
Bahamas,1500,0,0,1500,3.7,3.7,[12]
Bahrain,8200,0,11260,19460,12.4,5.2,[13]
Bangladesh,171250,0,63900,235150,1.4,1.0,[14]
Barbados,610,430,0,1040,3.4,2.0,[15]
Belarus,48600,289500,110000,448100,47.0,5.1,[16]
Belgium,23500,5900,0,29400,2.5,2.0,[17]
Belize,1500,700,150,2350,6.1,3.9,[15]
Benin,12300,0,4800,17100,1.2,0.8,[18]
Bolivia,34100,0,37100,71200,5.8,2.8,[19]
Bosnia and Herzegovina,10650,6000,0,16650,4.4,2.8,[20]
Botswana,9000,0,0,9000,3.7,3.7,[21]
Brazil,374500,1415000,395000,2184500,9.9,1.7,[22]
Brunei,7200,700,450,8350,17.2,14.8,[23]
Bulgaria,36950,3000,0,39950,5.9,5.4,[24]
Burkina Faso,7000,0,4450,11450,4.7,2.9,[25]
Burundi,30050,0,1000,31050,2.3,2.2,[26]
Cambodia,124300,0,67000,191300,11.3,7.4,[27]
Cameroon,25400,0,9000,34400,1.1,0.8,[28]
Canada,62300,29100,5800,97200,2.5,1.6,[29]
Cape Verde,1200,0,0,1200,2.0,2.0,[30]
Central African Republic,9150,0,1000,10150,1.8,1.6,[31]
Chad,33250,0,11900,45150,2.4,1.8,[32]
Chile,68500,19100,44700,132300,7.1,3.7,[33]
China,2035000,510000,500000,3045000,2.1,1.4,[34]
Colombia,269000,34950,165050,469000,9.5,5.4,[35]
Costa Rica,0,0,9950,9950,1.9,0.0,[36]
Côte d'Ivoire,27400,0,0,27400,0.9,0.9,[37][b]
Croatia,16800,2100,0,18900,4.6,4.0,[38]
Cuba,49000,39000,26500,114500,10.4,4.5,[39][c]
Cyprus,12000,50000,250,62250,47.6,9.2,[40]
Czech Republic,26600,0,0,26600,2.5,2.5,[41]
Democratic Republic of the Congo,128350,0,0,128350,1.1,1.1,[42]
Denmark,13100,44200,0,57300,9.6,2.2,[43]
Djibouti,8450,0,4650,13100,13.4,8.7,[44]
